iter	Passed	Remaining
268	11581	28803
269	11624	28758
270	11663	28707
271	11709	28671
272	11749	28621
273	11793	28580
274	11834	28532
275	11877	28487
276	11918	28440
277	11958	28391
278	11996	28336
279	12056	28331
280	12095	28279
281	12136	28231
282	12179	28188
283	12220	28141
284	12260	28092
285	12320	28086
286	12359	28034
287	12402	27991
288	12441	27940
289	12482	27892
290	12524	27845
291	12566	27800
292	12607	27753
293	12649	27709
294	12687	27655
295	12728	27607
296	12779	27581
297	12819	27531
298	12860	27484
299	12899	27433
300	12940	27385
301	12981	27338
302	13021	27288
303	13069	27257
304	13110	27208
305	13151	27162
306	13191	27114
307	13236	27073
308	13305	27084
309	13352	27049
310	13393	27002
311	13450	26986
312	13490	26938
313	13532	26893
314	13577	26854
315	13620	26809
316	13659	26758
317	13701	26713
318	13740	26662
319	13782	26617
320	13825	26574
321	13866	26527
322	13905	26476
323	13949	26435
324	13988	26384
325	14033	26345
326	14075	26300
327	14118	26257
328	14159	26210
329	14202	26166
330	14244	26121
331	14291	26087
332	14349	26070
333	14398	26038
334	14440	25992
335	14481	25946
336	14524	25902
337	14567	25859
338	14614	25823
339	14661	25786
340	14702	25740
341	14746	25698
342	14790	25656
343	14834	25615
344	14879	25574
345	14923	25534
346	14966	25490
347	15011	25451
348	15054	25406
349	15100	25368
350	15143	25324
351	15184	25278
352	15229	25238
353	15271	25192
354	15316	25154
355	15361	25112
356	15406	25072
357	15459	25046
358	15511	25017
359	15583	25019
360	15668	25043
361	15717	25008
362	15763	24969
363	15817	24942
364	15860	24899
365	15908	24862
366	15955	24825
367	16000	24783
368	16043	24739
369	16088	24698
370	16132	24655
371	16185	24626
372	16237	24595
373	16295	24573
374	16339	24531
375	16387	24493
376	16433	24454
377	16482	24418
378	16537	24392
379	16608	24388
380	16668	24368
381	16723	24341
382	16792	24333
383	16850	24310
384	16917	24299
385	16991	24298
386	17086	24326
387	17161	24327
388	17222	24306
389	17279	24279
390	17329	24243
391	17390	24222
392	17439	24184
393	17497	24158
394	17544	24118
395	17592	24078
396	17644	24045
397	17690	24002
398	17735	23958
399	17808	23951
400	17852	23907
401	17897	23863
402	17942	23820
403	17986	23774
404	18047	23750
405	18092	23707
406	18136	23662
407	18181	23617
408	18224	23571
409	18268	23526
410	18312	23480
411	18355	23433
412	18397	23386
413	18442	23342
414	18485	23296
415	18532	23254
416	18573	23205
417	18616	23159
418	18661	23115
419	18706	23071
420	18750	23026
421	18793	22979
422	18834	22931
423	18876	22883
424	18916	22833
425	18958	22785
426	19000	22738
427	19041	22689
428	19082	22640
429	19126	22596
430	19166	22546
431	19214	22505
432	19255	22457
433	19298	22410
434	19338	22361
435	19382	22316
436	19421	22266
437	19465	22220
438	19506	22172
439	19546	22123
440	19587	22074
441	19628	22026
442	19667	21975
443	19711	21931
444	19753	21884
445	19793	21835
446	19836	21788
447	19877	21740
448	19920	21694
449	19963	21649
450	20011	21609
451	20062	21571
452	20102	21522
453	20144	21476
454	20188	21430
455	20233	21387
456	20283	21348
457	20328	21305
458	20378	21266
459	20430	21229
460	20477	21187
461	20525	21147
462	20569	21102
463	20613	21057
464	20657	21013
465	20704	20970
466	20746	20924
467	20793	20882
468	20836	20836
469	20883	20794
470	20926	20748
471	20970	20704
472	21017	20662
473	21057	20613
474	21111	20578
475	21151	20529
476	21190	20479
477	21233	20434
478	21272	20384
479	21314	20337
480	21356	20290
481	21395	20241
482	21436	20194
483	21478	20146
