iter	RMSE
0	0.3866626192
1	0.3767530769
2	0.3680677204
3	0.3589207873
4	0.3499430187
5	0.3412260642
6	0.332606769
7	0.3244247785
8	0.3170835579
9	0.3097851934
10	0.3023230876
11	0.2953036593
12	0.2884003487
13	0.2823080847
14	0.2766476134
15	0.2703896483
16	0.2647623315
17	0.2596211697
18	0.2540553664
19	0.2489835339
20	0.2439723556
21	0.2397525325
22	0.2348449367
23	0.2307113046
24	0.2264772555
25	0.2221572585
26	0.2183704914
27	0.2144492659
28	0.2108522788
29	0.2075060922
30	0.2041006618
31	0.2006807732
32	0.1975122257
33	0.1944409175
34	0.1916866878
35	0.1886970772
36	0.1858965062
37	0.1831272139
38	0.1806870259
39	0.1785676064
40	0.1760892658
41	0.1736671165
42	0.1710900933
43	0.1688089322
44	0.1668173282
45	0.1649354167
46	0.1630576847
47	0.1612218173
48	0.1594433203
49	0.157627493
50	0.1559476421
51	0.1544676402
52	0.153020527
53	0.1513875277
54	0.1498202229
55	0.1484075383
56	0.1469478046
57	0.1455676825
58	0.1443893626
59	0.143280383
60	0.142089683
61	0.140975923
62	0.1398867517
63	0.138877934
64	0.13781246
65	0.1366506954
66	0.1358258131
67	0.1347766324
68	0.1338369813
69	0.1330221363
70	0.1321034394
71	0.1313222059
72	0.1303887625
73	0.1296860478
74	0.1289268398
75	0.1282656712
76	0.1274537711
77	0.1268756273
78	0.1261430546
79	0.1253823321
80	0.1247207923
81	0.1240709915
82	0.1234904999
83	0.122946437
84	0.1224340966
85	0.1219527052
86	0.1214473953
87	0.1210314892
88	0.1205678036
89	0.1200739649
90	0.1197046
91	0.1192153225
92	0.1188781883
93	0.1184355487
94	0.1180932678
95	0.1176988494
96	0.1172728967
97	0.1167993588
98	0.1163426811
99	0.1159447024
100	0.1155710251
101	0.1152040994
102	0.1148597975
103	0.1144294129
104	0.1141120198
105	0.1136218258
106	0.1132280409
107	0.1130022278
108	0.1127090519
109	0.1124854994
110	0.1122429638
111	0.1119686145
112	0.1117026828
113	0.1114190299
114	0.1111416943
115	0.1108143462
116	0.1105310088
117	0.1102887994
118	0.1100698096
119	0.1098910522
120	0.1095558448
121	0.1091985618
122	0.1089624281
123	0.1086801591
124	0.1082669505
125	0.1080697666
126	0.1078336989
127	0.1075892611
128	0.1073726246
129	0.1071632053
130	0.1068997203
131	0.1066376714
132	0.1063444699
133	0.106153156
134	0.1059672317
135	0.1057699351
136	0.1056623343
137	0.105491457
138	0.1052493709
139	0.1050973696
140	0.1048567267
141	0.10452558
142	0.1043461193
143	0.1042021444
144	0.1039630577
145	0.1038269281
146	0.1036442941
147	0.1034569409
148	0.1032419341
149	0.1030519325
150	0.1028401865
151	0.1027338413
152	0.1025463077
153	0.1023837665
154	0.102263248
155	0.1021052756
156	0.1019835652
157	0.1018553532
158	0.1017507275
159	0.1015897155
160	0.1014422226
161	0.1011575543
162	0.100995071
163	0.1008209357
164	0.1005520742
165	0.1003668005
166	0.1001878387
167	0.1000100835
168	0.0999159732
169	0.09981430592
170	0.09978113393
171	0.09965049096
172	0.09954968102
173	0.09937671048
174	0.09926165296
175	0.09909494768
176	0.09897556606
177	0.09881255037
178	0.09863123174
179	0.09851964185
180	0.09841135257
181	0.09828547169
182	0.09805009127
183	0.09782478537
184	0.09769709655
185	0.09758093705
186	0.09747315635
187	0.09732392737
188	0.09716101741
189	0.09693888524
190	0.09679520514
191	0.09663470107
192	0.09652643992
193	0.09649121125
194	0.09634831974
195	0.09619293633
196	0.09606772803
